,precision,recall,f1-score,support
No Disaster,0.9716201940007043,0.8469394873798328,0.9050057773305006,71671.0
Disaster,0.38649963648565516,0.7958314140948871,0.5203086768304159,8684.0
accuracy,0.8414162155435256,0.8414162155435256,0.8414162155435256,0.8414162155435256
macro avg,0.6790599152431798,0.8213854507373599,0.7126572270804583,80355.0
weighted avg,0.908385959398493,0.8414162155435256,0.8634313933999084,80355.0
